,Inspection ID,Name,Latitude,Longitude,Ratings
93,2268249.0,LUZZAT RESTAURANT INC.,,,
94,2268246.0,ALEX LA MICHOACANA,,,
95,2268247.0,JIANG'S KITCHEN INC.,,,
96,2268241.0,ANTOJITOS PUEBLITA INC,41.9680505,-87.7222307,4.6
97,2268242.0,SUSHI WORLD,,,
98,2268240.0,PEPES RESTAURANT,41.9132143,-87.74512969999999,3.9
99,2268236.0,ANNA PURANA FAST FOOD,,,
100,2268232.0,GREAT SEA CHINESE RESTAURANT,41.968573,-87.710644,4.3
101,2268234.0,COLUTA'S PIZZA,,,
102,2268231.0,GREAT SEA CHINESE RESTAURANT,41.968573,-87.710644,4.3
103,2268229.0,Tortuga's Cantina,41.96866139999999,-87.7094887,4.0
104,2268230.0,PANERA BREAD,41.8754341,-87.627288,4.1
105,2268226.0,NORWOOD RESTAURANT,,,
106,2268224.0,BACON & JAM,,,
107,2268228.0,MC DONALDS,41.880939,-87.63056279999999,3.9
108,2268213.0,DUNKIN DONUTS,41.88615370000001,-87.63150089999999,4.0
109,2262204.0,SIMI'S,,,
110,2262200.0,TACO BELL,41.84951849999999,-87.7439359,3.8
111,2262199.0,QUIZNO'S SUB,41.9039881,-87.63414949999999,4.5
112,2262195.0,DENDEN RESTAURANT,,,
113,2262198.0,CHOLIES PIZZERIA INC.,41.7993858,-87.5862277,4.3
114,2262193.0,"CHINESE CHEF'S KITCHEN, INC.",41.9398421,-87.7429494,3.9
115,2262192.0,BOMBASTIC CAFE,,,
116,2262186.0,SMALL CHEVAL,41.9128179,-87.6815051,4.7
117,2262197.0,"FIESTA BURGER HEAVEN, INC.",,,
118,2262187.0,USMANIA RESTAURANT,,,
119,2262181.0,SUBWAY,41.8855837,-87.6289723,3.2
120,2262188.0,TERRY'S,,,
121,2262177.0,"TONY'S BURRITO MEX, INC",41.9394771,-87.6782003,4.6
122,2262185.0,BOYA FOOD TRADING,,,
123,2262180.0,CHILI'S GRILL & BAR,41.884028,-87.639974,4.1
124,2262175.0,MAYAN PALACE 2,41.9322209,-87.648727,4.4
125,2262174.0,MAYAN PALACE 2,41.9322209,-87.648727,4.4
126,2262173.0,NAF NAF GRILL,41.887583,-87.62492999999999,4.3
127,2262171.0,LEADER BAR,,,
128,2262178.0,WINGSTOP,41.9112352,-87.6785789,3.3
129,2262168.0,"BENCHMARK HOSPITALITY OF CHICAGO, INC.",41.9095013,-87.63500379999999,4.0
130,2262167.0,"BENCHMARK HOSPITALITY OF CHICAGO, INC.",41.9095013,-87.63500379999999,4.0
131,2262164.0,WINDY CITY BBQ,41.8526801,-87.62462239999999,3.7
132,2262161.0,WINDY CITY BBQ,41.8526801,-87.62462239999999,3.7
133,2262155.0,TORTERIA SAN LENCHITO INC.,41.9687614,-87.7172377,4.9
134,2262148.0,Las Delicias De Puerto Rico,,,
135,2262154.0,THE  VERANDA ON THORNDALE,,,
136,2262144.0,TAQUERIA EL HEREDERO INC,41.9174989,-87.7079705,4.6
137,2262141.0,TAQUERIA EL HEREDERO INC,41.9174989,-87.7079705,4.6
138,2262133.0,LE COLONIAL,41.900523,-87.6260999,4.4
139,2262132.0,ELEVEN CITY DINER,41.86867280000001,-87.6260911,4.6
140,2262126.0,DUNKIN DONUTS,41.88615370000001,-87.63150089999999,4.0
141,2262124.0,YOSHI'S CAFE,,,
142,2262125.0,LE COLONIAL,41.900523,-87.6260999,4.4
143,2262131.0,"MARISCOS EL KORA, INC.",41.7996833,-87.7347779,4.3
144,2262130.0,ANTEPRIMA,,,
145,2262117.0,"MARISCOS EL KORA, INC.",41.7996833,-87.7347779,4.3
146,2262115.0,I.H.O.P.,41.9323607,-87.6981892,4.0
147,2262110.0,LOU MALNATI'S PIZZERIA,41.8715623,-87.6272729,4.5
148,2262107.0,SUBWAY,41.8855837,-87.6289723,3.2
149,2262102.0,SUBWAY,41.8855837,-87.6289723,3.2
150,2262099.0,SUBWAY,41.8855837,-87.6289723,3.2
151,2262097.0,A.P. DELI INC. XI,41.9378686,-87.64417189999999,4.4
152,2262104.0,"BROADWAY GRILL, INC.",,,
153,2262103.0,QUESADILLA MONARCA,,,
154,2262095.0,AIN'T SHE SWEET CAFE BEVERLY,,,
155,2262090.0,BIRRIERIA Y CARNITAS EL GALLITO,,,
156,2262089.0,THE GLOBE PUB,41.9544097,-87.6777563,4.5
157,2262087.0,HOME RUN INN PIZZERIA,41.8369474,-87.7314457,4.4
158,2262086.0,KAM FUNG RESTAURANT,41.85236039999999,-87.6327204,3.9
159,2262085.0,SUBWAY,41.8855837,-87.6289723,3.2
160,2262082.0,MAY ST. RESTAURANT,41.8526272,-87.6548779,4.0
161,2262079.0,Q'S TIPS AND WINGS,,,
162,2262076.0,JOJO'S MILK BAR,41.891576,-87.62630329999999,4.5
163,2262081.0,JANSON'S DRIVE IN,,,
164,2262075.0,JOJO'S MILK BAR,41.891576,-87.62630329999999,4.5
165,2262061.0,RISE UP NUTRITION,,,
166,2262056.0,LOU MITCHELL'S,41.877864,-87.64215949999999,4.6
167,2262045.0,SPANGLISH MEXICAN KITCHEN INC.,41.8747174,-87.62730669999999,4.1
168,2262043.0,SUBWAY  5183,41.8833458,-87.62549990000001,3.9
169,2262040.0,NOOKIES CAFE & RESTAURANT,41.9428851,-87.6496229,4.4
170,2262039.0,STEAK & EGGER,41.8526775,-87.6558414,4.1
171,2262038.0,SUSHI WITH GUSTO,,,
172,2262035.0,LA PERLA TAPATIA,41.909939,-87.70900499999999,4.5
173,2262031.0,LA PENA RESTAURANTE,,,
174,2262027.0,GOOGOO'S TABLE,41.9172726,-87.7361372,4.2
175,2262034.0,IYANZE,41.9661908,-87.6575728,3.9
176,2262026.0,PONCE PLACE,41.9101385,-87.7171655,4.4
177,2262024.0,MAKO,41.9134555,-87.648164,4.6
178,2262020.0,PARSON'S CHICKEN & FISH,41.9176131,-87.7013187,4.5
179,2262019.0,PARSON'S CHICKEN & FISH,41.9176131,-87.7013187,4.5
180,2262021.0,POTBELLY SANDWICH WORKS LLC,41.797133,-87.588225,4.0
181,2262013.0,BLAZE IL STORE 1 LLC.,41.93980699999999,-87.653565,4.5
182,2262030.0,TACO BELL,41.84951849999999,-87.7439359,3.8
183,2262022.0,MAKO,41.9134555,-87.648164,4.6
184,2262016.0,POZOLERIA IGUALA IN CHICAGO INC.,41.92431699999999,-87.723226,4.1
185,2262010.0,LOLAS CONEY LLC,,,
186,2262018.0,SUBWAY SANDWICHES AND SALAD,,,
187,2262009.0,FOX'S BEVERLY PUB,,,
188,2262006.0,POPEYES,41.8822079,-87.6403929,2.9
189,2262008.0,SUBWAY,41.8855837,-87.6289723,3.2
190,2262002.0,BABY BURRITOS,,,
191,2262001.0,GORDO'S TAMALES,41.7935302,-87.69437169999999,4.2
192,2262003.0,MARWA GRILL,,,
193,2261999.0,GORDO TAMALES,41.7935302,-87.69437169999999,4.2
194,2262015.0,CAPT'N NEMO,41.9483892,-87.6692192,4.5
195,2262000.0,THE DOG HOUSE GRILL,41.9101942,-87.6348616,3.9
196,2261995.0,TWISTED HIPPO TAPROOM AND EATERY,,,
197,2261991.0,RAVINIA BREWING COMPANY,,,
198,2261993.0,LA BARCA EL TACONAZO,41.9100788,-87.72979889999999,4.1
199,2261989.0,CHICAGO STYLE CONCESSIONS,,,
