,Inspection_id,DBA_Name,Risk,Address,Zip,Inspection_Date,Results,Latitude,Longitude
39,2268381,LITO'S EMPANADAS,Risk 2 (Medium),100 W RANDOLPH ST ,60601,2019-02-22T00:00:00,Pass w/ Conditions,41.88458627,-87.63101045
40,2268382,CAFE BONHOMME / BEATNIX BY THE RIVER,Risk 1 (High),180 N WACKER DR ,60606,2019-02-22T00:00:00,Pass w/ Conditions,41.88524323,-87.63716479
41,2268378,CHICAGO WINGS & GYROS,Risk 1 (High),2145 S PULASKI RD ,60623,2019-02-22T00:00:00,Pass w/ Conditions,41.85193458,-87.72462254
42,2268380,CAFE BONHOMME / BEATNIX BY THE RIVER,Risk 1 (High),180 N WACKER DR ,60606,2019-02-22T00:00:00,Pass w/ Conditions,41.88524323,-87.63716479
43,2268376,S & G GRILL,Risk 1 (High),3000 N LINCOLN AVE ,60657,2019-02-22T00:00:00,Pass w/ Conditions,41.93612294,-87.66391411
44,2268365,NORWOOD RESTAURANT,Risk 1 (High),6101 N NORTHWEST HWY ,60631,2019-02-22T00:00:00,Pass w/ Conditions,41.99247686,-87.79900315
45,2268363,LOS OLIVO'S,Risk 1 (High),3400 W 31ST ST ,60623,2019-02-22T00:00:00,Pass w/ Conditions,41.83725399,-87.7097778
46,2268361,Subway,Risk 1 (High),3675 W Grand AVE ,60651,2019-02-21T00:00:00,Pass w/ Conditions,41.90304578,-87.7188893
47,2268359,MIN MIN CAFE,Risk 1 (High),1465 W IRVING PARK RD ,60613,2019-02-21T00:00:00,Fail,41.95420978,-87.66676356
48,2268355,KAM FUNG RESTAURANT,Risk 1 (High),216 W 22ND PL ,60616,2019-02-21T00:00:00,Pass,41.85227106,-87.63272836
49,2268356,PIZZA NOVA EXPRESS,Risk 1 (High),3836 W 79TH ST ,60652,2019-02-21T00:00:00,Pass,41.74971286,-87.71976333
50,2268346,Chipotle Mexican Grill,Risk 1 (High),2640 N NARRAGANSETT AVE ,60639,2019-02-21T00:00:00,Pass,41.92856273,-87.78577116
51,2268343,JERSEY MIKE'S SUBS,Risk 1 (High),200 W MONROE ST ,60606,2019-02-21T00:00:00,Fail,41.88076896,-87.63387497
52,2268344,WingStop,Risk 1 (High),2344 W CERMAK RD ,60608,2019-02-21T00:00:00,Pass w/ Conditions,41.85214362,-87.68504521
53,2268351,MR V'S CARRYOUT,Risk 1 (High),5285 N ELSTON AVE ,60630,2019-02-21T00:00:00,Pass w/ Conditions,41.97713934,-87.75458801
54,2268341,EL MICHOACANITO,Risk 1 (High),4311-4315 N KEDZIE AVE ,60618,2019-02-21T00:00:00,Pass w/ Conditions,41.95974034,-87.70805402
55,2268339,KEN'S,Risk 1 (High),10522 S WESTERN AVE ,60643,2019-02-21T00:00:00,Pass w/ Conditions,41.70201547,-87.68162963
56,2268347,STAN'S CORNER INC,Risk 1 (High),5960 S ARCHER AVE ,60638,2019-02-21T00:00:00,Pass w/ Conditions,41.79541424,-87.76506224
57,2268336,SABOR A CAFE RESTAURANT,Risk 1 (High),2435 W PETERSON AVE ,60659,2019-02-21T00:00:00,Fail,41.9903811,-87.6910996
58,2268327,MAKOTO,Risk 1 (High),5854-5856 N LINCOLN AVE ,60659,2019-02-21T00:00:00,Fail,41.98779176,-87.70325097
59,2268326,CAPT'N NEMO,Risk 1 (High),7367 N CLARK ST ,60626,2019-02-21T00:00:00,Pass w/ Conditions,42.01570881,-87.67500337
60,2268332,EL TACO SABROSO #1 INC,Risk 1 (High),8346 S PULASKI RD ,60652,2019-02-21T00:00:00,Pass w/ Conditions,41.74074622,-87.72177864
61,2268318,THE PIZZA CORNER,Risk 1 (High),6322 N BROADWAY ,60660,2019-02-21T00:00:00,Pass w/ Conditions,41.99708065,-87.66061649
62,2268317,JEONG,Risk 3 (Low),1460 W CHICAGO AVE ,60642,2019-02-21T00:00:00,Pass w/ Conditions,41.89622225,-87.66479278
63,2268324,"1st HUNAN SPRING, INC",Risk 1 (High),5279 N ELSTON AVE ,60630,2019-02-21T00:00:00,Pass w/ Conditions,41.97704127,-87.75442839
64,2268319,CAFE BONHOMME / BEATNIX BY THE RIVER,Risk 1 (High),180 N WACKER DR ,60606,2019-02-21T00:00:00,Fail,41.88524323,-87.63716479
65,2268311,AMERICANOS,Risk 1 (High),11060 S WESTERN AVE ,60643,2019-02-21T00:00:00,Pass w/ Conditions,41.69210916,-87.68131144
66,2268308,MR. POLLO,Risk 1 (High),5222 W DIVERSEY AVE ,60639,2019-02-21T00:00:00,Pass w/ Conditions,41.93149805,-87.75738202
67,2268307,ROJO GUSANO,Risk 1 (High),3830 W LAWRENCE AVE ,60625,2019-02-21T00:00:00,No Entry,41.96839043,-87.72444786
68,2268313,JEONG,Risk 1 (High),1460 W CHICAGO AVE ,60642,2019-02-21T00:00:00,Pass w/ Conditions,41.89622225,-87.66479278
69,2268321,EL TACO AZTECA,Risk 1 (High),2151 W CERMAK RD ,60608,2019-02-21T00:00:00,Pass w/ Conditions,41.8519948,-87.68031325
70,2268314,THE GOLDEN VILLAGE,Risk 1 (High),3619 W NORTH AVE ,60647,2019-02-21T00:00:00,Fail,41.90987367,-87.7175329
71,2268310,CAFE BONHOMME / BEATNIX BY THE RIVER,Risk 1 (High),180 N WACKER DR ,60606,2019-02-21T00:00:00,Fail,41.88524323,-87.63716479
72,2268293,POPEYE'S #831,Risk 1 (High),1959 W HOWARD ST ,60626,2019-02-21T00:00:00,Pass w/ Conditions,42.01933311,-87.68002153
73,2268300,ZIGGY'S SIDE DOOR PUB & DELI,Risk 1 (High),6158 W 63RD ST ,60638,2019-02-21T00:00:00,Pass w/ Conditions,41.77787867,-87.77632371
74,2268295,LA TORTA CHILANGA,Risk 1 (High),2152 W CERMAK RD ,60608,2019-02-21T00:00:00,Pass w/ Conditions,41.85221316,-87.68039534
75,2268290,DUNKIN DONUTS,Risk 2 (Medium),6332 N BROADWAY ,60660,2019-02-21T00:00:00,Pass,41.99736196,-87.66063304
76,2268284,FOUR MOON TAVERN,Risk 1 (High),1847 W ROSCOE ST ,60657,2019-02-21T00:00:00,Pass w/ Conditions,41.94314096,-87.67570739
77,2268281,EL SAZON RESTAURANT,Risk 1 (High),2128 W CERMAK RD ,60608,2019-02-21T00:00:00,Out of Business,41.85222861,-87.67948333
78,2268292,ELLY'S PANCAKE HOUSE,Risk 1 (High),5308-5312 N MILWAUKEE AVE ,60630,2019-02-21T00:00:00,Fail,41.97673434,-87.76886264
79,2268280,RESTAURANT MIRO'SS INC.,Risk 1 (High),2128 W CERMAK RD ,60608,2019-02-21T00:00:00,Out of Business,41.85222861,-87.67948333
80,2268279,GUS'S WORLD FAMOUS FRIED CHICKEN,Risk 3 (Low),401 N STATE ST ,60654,2019-02-21T00:00:00,Pass,41.88926542,-87.62786766
81,2268273,PIZZA HUT # 35190,Risk 1 (High),2516 W NORTH AVE ,60647,2019-02-21T00:00:00,Not Ready,41.91039726,-87.69036694
82,2268276,GUS'S WORLD FAMOUS FRIED CHICKEN,Risk 2 (Medium),401 N STATE ST ,60654,2019-02-21T00:00:00,Pass,41.88926542,-87.62786766
83,2268265,ARCHIES,Risk 1 (High),1228 W LOYOLA AVE ,60626,2019-02-21T00:00:00,Pass w/ Conditions,42.00151969,-87.66205199
84,2268266,DUNKIN DONUTS,Risk 2 (Medium),5700 S CICERO AVE ,60638,2019-02-21T00:00:00,Pass,41.78932932,-87.74164564
85,2268267,VELOX COFFEE,Risk 2 (Medium),6206 N BROADWAY ,60660,2019-02-21T00:00:00,Pass,41.99480517,-87.66056031
86,2268261,ELLIOTT'S SEAFOOD AND CHOP HOUSE GRILL,Risk 1 (High),6688-6690 N NORTHWEST HWY ,60631,2019-02-20T00:00:00,No Entry,42.00245899,-87.81587721
87,2268260,POPEYE'S#835,Risk 1 (High),3457 W ROOSEVELT RD ,60624,2019-02-20T00:00:00,Pass w/ Conditions,41.86621302,-87.71278165
88,2268259,Delhi Darbar Kabob House,Risk 1 (High),3010 W Devon AVE ,60659,2019-02-20T00:00:00,No Entry,41.99757606,-87.70500111
89,2268258,POPEYES,Risk 1 (High),3457 W ROOSEVELT RD ,60624,2019-02-20T00:00:00,Out of Business,41.86621302,-87.71278165
90,2268257,BYRONS KITCHENS,Risk 1 (High),1017 W IRVING PARK RD ,60613,2019-02-20T00:00:00,Pass w/ Conditions,41.95436836,-87.65522418
91,2268252,EAT AND RUN  NFP,Risk 1 (High),1733 W 87TH ST ,60620,2019-02-20T00:00:00,No Entry,41.73562916,-87.66684643
92,2268248,JIBARITOS ON HARLEM,Risk 1 (High),3317-3319 N HARLEM AVE ,60634,2019-02-20T00:00:00,Pass,41.94033267,-87.80668213
93,2268249,LUZZAT RESTAURANT INC.,Risk 1 (High),1505 W JARVIS AVE ,60626,2019-02-20T00:00:00,Fail,42.01593541,-87.66839609
94,2268246,ALEX LA MICHOACANA,Risk 1 (High),4819 W Diversey AVE ,60639,2019-02-20T00:00:00,Pass w/ Conditions,41.93141405,-87.74740231
95,2268247,JIANG'S KITCHEN INC.,Risk 1 (High),2740 W 111TH ST ,60655,2019-02-20T00:00:00,Pass w/ Conditions,41.69180631,-87.69007295
96,2268241,ANTOJITOS PUEBLITA INC,Risk 1 (High),3737 W LAWRENCE AVE UNIT E,60625,2019-02-20T00:00:00,Pass w/ Conditions,41.96819486,-87.7222708
97,2268242,SUSHI WORLD,Risk 1 (High),6251 N MCCORMICK RD ,60659,2019-02-20T00:00:00,Pass w/ Conditions,41.99547888,-87.71287527
98,2268240,PEPES RESTAURANT,Risk 1 (High),954 W 87TH ST ,60620,2019-02-20T00:00:00,Fail,41.73611661,-87.64826717
99,2268236,ANNA PURANA FAST FOOD,Risk 1 (High),2608 W DEVON AVE ,60659,2019-02-20T00:00:00,Pass w/ Conditions,41.99774835,-87.69516655
100,2268232,GREAT SEA CHINESE RESTAURANT,Risk 1 (High),3253 W LAWRENCE AVE ,60625,2019-02-20T00:00:00,Pass w/ Conditions,41.9683225,-87.71062111
101,2268234,COLUTA'S PIZZA,Risk 1 (High),4946 W DIVERSEY AVE ,60639,2019-02-20T00:00:00,Pass w/ Conditions,41.9315855,-87.75092912
102,2268231,GREAT SEA CHINESE RESTAURANT,Risk 1 (High),3253 W LAWRENCE AVE ,60625,2019-02-20T00:00:00,Pass w/ Conditions,41.9683225,-87.71062111
103,2268229,Tortuga's Cantina,Risk 1 (High),3220-3224 W LAWRENCE AVE ,60625,2019-02-20T00:00:00,No Entry,41.96855261,-87.70938107
104,2268230,PANERA BREAD,Risk 1 (High),6059 N LINCOLN AVE ,60659,2019-02-20T00:00:00,Pass w/ Conditions,41.99191947,-87.70963133
105,2268226,NORWOOD RESTAURANT,Risk 1 (High),6101 N NORTHWEST HWY ,60631,2019-02-20T00:00:00,Pass w/ Conditions,41.99247686,-87.79900315
106,2268224,BACON & JAM,Risk 1 (High),3335 W 111TH ST ,60655,2019-02-20T00:00:00,Pass w/ Conditions,41.69139894,-87.70472545
107,2268228,MC DONALDS,Risk 2 (Medium),36 W 95TH ST ,60628,2019-02-20T00:00:00,Pass w/ Conditions,41.72180876,-87.62524189
108,2268213,DUNKIN DONUTS,Risk 2 (Medium),5723 N CALIFORNIA AVE ,60659,2019-02-20T00:00:00,Pass w/ Conditions,41.98571759,-87.69909643
