,Unnamed: 0,Latitude,Longitude,Ratings,Unique_ID
0,2,41.875810200000004,-87.6264489,4.6,-45.68045516627022
1,10,41.879321600000004,-87.66897800000001,4.3,-45.68045516627022
2,12,41.9661908,-87.6575728,3.9,-45.71367826606122
3,13,41.885130100000005,-87.62376119999998,4.4,-45.70771329723024
4,14,41.9567073,-87.6552932,3.9,-45.984340452362524
5,15,41.858237200000005,-87.6473003,4.5,-45.66415634460338
6,18,41.864247,-87.646698,3.3,-45.73008918301694
7,20,41.88615370000001,-87.63150089999998,4.0,-45.79089152468649
8,21,41.7992576,-87.5919425,4.0,-45.737011574986504
9,23,41.859038,-87.6604878,4.5,-45.71933454207282
10,26,41.815051200000006,-87.70218369999998,4.5,-45.74933886330537
11,27,41.8657151,-87.646644,3.9,-45.82911650513499
12,28,41.953879,-87.6686892,4.4,-45.69167113127045
13,29,41.885583700000005,-87.6289723,3.2,-45.96448483621554
14,32,41.881173,-87.63407,4.2,-45.69774905518496
15,34,41.8693407,-87.65509940000001,4.7,-45.78912366819339
16,36,41.8526229,-87.61195769999998,5.0,-45.791334790857604
17,38,41.885583700000005,-87.6289723,3.2,-45.71927979886403
18,39,41.929401,-87.64294100000001,4.6,-46.00875030686182
19,40,41.89147699999999,-87.63081690000001,4.5,-45.70771329723024
20,41,41.8713611,-87.686359,3.9,-45.810654498938945
21,42,41.89147699999999,-87.63081690000001,4.5,-45.998582812723896
22,45,41.8372691,-87.71006259999999,4.6,-45.94967729798918
23,46,41.885583700000005,-87.6289723,3.2,-45.821798273012824
24,47,41.954213,-87.66669399999998,4.3,-45.810654498938945
25,48,41.85236039999999,-87.6327204,3.9,-45.70771329723024
26,49,41.816464,-87.64070099999998,3.7,-45.87897325318072
27,50,41.88728769999999,-87.6248481,4.2,-45.74168525536902
28,51,41.881173,-87.63407,4.2,-45.715016432776444
29,52,41.9112352,-87.6785789,3.3,-45.86423638064132
30,53,41.891598200000004,-87.6252265,4.5,-45.862594256366044
31,54,41.9598287,-87.70800679999998,4.5,-45.674867049787096
32,57,41.9100751,-87.7219527,3.9,-45.75310601317671
33,58,41.885886,-87.64845,4.7,-45.91023664062138
34,59,41.94838920000001,-87.6692192,4.5,-45.82227584035065
35,62,41.896390999999994,-87.66479729999998,5.0,-45.765713606818636
36,64,41.89147699999999,-87.63081690000001,4.5,-45.7628623453214
37,66,41.9395207,-87.70381569999998,4.6,-45.93631245718824
38,67,41.968424600000006,-87.7245494,4.4,-45.87589707032214
39,68,41.896390999999994,-87.66479729999998,5.0,-45.74642417873141
40,69,41.85192120000001,-87.6802835,4.4,-45.751921561610274
41,70,41.909764,-87.71766699999998,4.8,-45.87268796793779
42,71,41.89147699999999,-87.63081690000001,4.5,-45.751921561610274
43,72,41.8849988,-87.6260095,3.4,-45.72779116298684
44,75,41.88615370000001,-87.63150089999998,4.0,-45.806526294466494
45,77,41.8980085,-87.6872161,4.8,-45.87252381537244
46,78,41.901695399999994,-87.62740840000001,4.5,-45.815843524405466
47,79,41.85230139999999,-87.6795046,4.6,-45.712553780468454
48,80,41.8865711,-87.64942459999997,4.5,-45.7804572971983
49,81,41.87703399999999,-87.6554927,4.4,-45.97005046964153
50,82,41.8865711,-87.64942459999997,4.5,-45.85720843299129
51,83,41.8959277,-87.68958219999998,4.5,-45.75310601317671
52,84,41.88615370000001,-87.63150089999998,4.0,-45.83290158785759
53,87,41.8822079,-87.6403929,2.9,-45.77744866773428
54,89,41.8822079,-87.6403929,2.9,-45.748313680251236
55,90,41.9543277,-87.65528660000003,4.5,-45.979614157325244
