Inspection_id,DBA_Name,Risk,Address,Results,Inspection_Date,ratings
2268292,"ELLY'S PANCAKE HOUSE","Risk 1 (High)","5308-5312 N MILWAUKEE AVE ",Fail,2019-02-21T00:00:00,4.5
2268280,"RESTAURANT MIRO'SS INC.","Risk 1 (High)","2128 W CERMAK RD ","Out of Business",2019-02-21T00:00:00,3.9
2268279,"GUS'S WORLD FAMOUS FRIED CHICKEN","Risk 3 (Low)","401 N STATE ST ",Pass,2019-02-21T00:00:00,4.5
2268273,"PIZZA HUT # 35190","Risk 1 (High)","2516 W NORTH AVE ","Not Ready",2019-02-21T00:00:00,2.8
2268276,"GUS'S WORLD FAMOUS FRIED CHICKEN","Risk 2 (Medium)","401 N STATE ST ",Pass,2019-02-21T00:00:00,4.5
2268266,"DUNKIN DONUTS","Risk 2 (Medium)","5700 S CICERO AVE ",Pass,2019-02-21T00:00:00,4
2268260,POPEYE'S#835,"Risk 1 (High)","3457 W ROOSEVELT RD ","Pass w/ Conditions",2019-02-20T00:00:00,2.9
2268258,POPEYES,"Risk 1 (High)","3457 W ROOSEVELT RD ","Out of Business",2019-02-20T00:00:00,2.9
2268257,"BYRONS KITCHENS","Risk 1 (High)","1017 W IRVING PARK RD ","Pass w/ Conditions",2019-02-20T00:00:00,4.5
2268241,"ANTOJITOS PUEBLITA INC","Risk 1 (High)","3737 W LAWRENCE AVE UNIT E","Pass w/ Conditions",2019-02-20T00:00:00,4.6
2268240,"PEPES RESTAURANT","Risk 1 (High)","954 W 87TH ST ",Fail,2019-02-20T00:00:00,3.9
2268232,"GREAT SEA CHINESE RESTAURANT","Risk 1 (High)","3253 W LAWRENCE AVE ","Pass w/ Conditions",2019-02-20T00:00:00,4.3
2268231,"GREAT SEA CHINESE RESTAURANT","Risk 1 (High)","3253 W LAWRENCE AVE ","Pass w/ Conditions",2019-02-20T00:00:00,4.3
2268229,"Tortuga's Cantina","Risk 1 (High)","3220-3224 W LAWRENCE AVE ","No Entry",2019-02-20T00:00:00,4
2268230,"PANERA BREAD","Risk 1 (High)","6059 N LINCOLN AVE ","Pass w/ Conditions",2019-02-20T00:00:00,4.1
2268228,"MC DONALDS","Risk 2 (Medium)","36 W 95TH ST ","Pass w/ Conditions",2019-02-20T00:00:00,3.9
