Inspection_ID,Rest_name,Latitude,Longitude,Ratings
2262099,SUBWAY,41.8855837,-87.6289723,3.2
2262097,A.P. DELI INC. XI,41.9378686,-87.6441719,4.4
2262089,THE GLOBE PUB,41.9544097,-87.6777563,4.5
2262087,HOME RUN INN PIZZERIA,41.8369474,-87.7314457,4.4
2262086,KAM FUNG RESTAURANT,41.8523604,-87.6327204,3.9
2262085,SUBWAY,41.8855837,-87.6289723,3.2
2262082,MAY ST. RESTAURANT,41.8526272,-87.6548779,4
2262076,JOJO'S MILK BAR,41.891576,-87.6263033,4.5
2262075,JOJO'S MILK BAR,41.891576,-87.6263033,4.5
2262056,LOU MITCHELL'S,41.877864,-87.6421595,4.6
2262045,SPANGLISH MEXICAN KITCHEN INC.,41.8747174,-87.6273067,4.1
2262043,SUBWAY  5183,41.8833458,-87.6254999,3.9
2262040,NOOKIES CAFE & RESTAURANT,41.9428851,-87.6496229,4.4
2262039,STEAK & EGGER,41.8526775,-87.6558414,4.1
2262035,LA PERLA TAPATIA,41.909939,-87.709005,4.5
2262027,GOOGOO'S TABLE,41.9172726,-87.7361372,4.2
2262034,IYANZE,41.9661908,-87.6575728,3.9
2262026,PONCE PLACE,41.9101385,-87.7171655,4.4
2262024,MAKO,41.9134555,-87.648164,4.6
2262020,PARSON'S CHICKEN & FISH,41.9176131,-87.7013187,4.5
2262019,PARSON'S CHICKEN & FISH,41.9176131,-87.7013187,4.5
2262021,POTBELLY SANDWICH WORKS LLC,41.797133,-87.588225,4
2262013,BLAZE IL STORE 1 LLC.,41.939807,-87.653565,4.5
2262030,TACO BELL,41.8495185,-87.7439359,3.8
2262022,MAKO,41.9134555,-87.648164,4.6
2262016,POZOLERIA IGUALA IN CHICAGO INC.,41.924317,-87.723226,4.1
2262006,POPEYES,41.8822079,-87.6403929,2.9
2262008,SUBWAY,41.8855837,-87.6289723,3.2
2262001,GORDO'S TAMALES,41.7935302,-87.6943717,4.2
2261999,GORDO TAMALES,41.7935302,-87.6943717,4.2
2262015,CAPT'N NEMO,41.9483892,-87.6692192,4.5
2262000,THE DOG HOUSE GRILL,41.9101942,-87.6348616,3.9
2261993,LA BARCA EL TACONAZO,41.9100788,-87.7297989,4.1
